epoch	loss	lr	cor
1	tensor(0.0818, device='cuda:0')	0.002	0.34571200983269673
2	tensor(0.0394, device='cuda:0')	0.002	0.7435359741456967
3	tensor(0.0229, device='cuda:0')	0.002	0.8713650772987628
4	tensor(0.0165, device='cuda:0')	0.002	0.9119165883920873
5	tensor(0.0135, device='cuda:0')	0.002	0.9283980266628634
6	tensor(0.0117, device='cuda:0')	0.002	0.937733972749859
7	tensor(0.0102, device='cuda:0')	0.002	0.9450816930597045
8	tensor(0.0091, device='cuda:0')	0.002	0.9504757553582609
9	tensor(0.0083, device='cuda:0')	0.002	0.9544560846985989
10	tensor(0.0075, device='cuda:0')	0.002	0.9588161289176066
11	tensor(0.0068, device='cuda:0')	0.002	0.9627201804010492
12	tensor(0.0065, device='cuda:0')	0.002	0.964097819080805
13	tensor(0.0059, device='cuda:0')	0.002	0.9670821468967752
14	tensor(0.0056, device='cuda:0')	0.002	0.9687823119210803
15	tensor(0.0054, device='cuda:0')	0.002	0.9698569571402254
16	tensor(0.0051, device='cuda:0')	0.002	0.9714796607883781
17	tensor(0.0049, device='cuda:0')	0.002	0.972185556464197
18	tensor(0.0047, device='cuda:0')	0.002	0.9734274565842579
19	tensor(0.0045, device='cuda:0')	0.002	0.974538270580308
20	tensor(0.0042, device='cuda:0')	0.002	0.975967515747949
21	tensor(0.0041, device='cuda:0')	0.002	0.9763694112494844
22	tensor(0.0041, device='cuda:0')	0.002	0.9766903509456123
23	tensor(0.0039, device='cuda:0')	0.002	0.9776214575558907
24	tensor(0.0038, device='cuda:0')	0.002	0.9779443625944534
25	tensor(0.0038, device='cuda:0')	0.002	0.9782002399544198
26	tensor(0.0036, device='cuda:0')	0.002	0.9795175116802913
27	tensor(0.0036, device='cuda:0')	0.002	0.9791668391538989
28	tensor(0.0036, device='cuda:0')	0.002	0.9793825320917566
29	tensor(0.0034, device='cuda:0')	0.002	0.9805552539740358
30	tensor(0.0033, device='cuda:0')	0.002	0.9810493148432281
31	tensor(0.0034, device='cuda:0')	0.002	0.9805952670589968
32	tensor(0.0033, device='cuda:0')	0.002	0.9810558411078698
33	tensor(0.0032, device='cuda:0')	0.002	0.9817274691853425
