epoch	loss	lr	cor
1	tensor(0.0817, device='cuda:0')	0.002	0.34928144462009475
2	tensor(0.0425, device='cuda:0')	0.002	0.7146433867408561
3	tensor(0.0269, device='cuda:0')	0.002	0.841115547402515
4	tensor(0.0200, device='cuda:0')	0.002	0.8879880620195063
5	tensor(0.0165, device='cuda:0')	0.002	0.9090841198422155
6	tensor(0.0143, device='cuda:0')	0.002	0.92287836233876
7	tensor(0.0125, device='cuda:0')	0.002	0.9322982277153931
8	tensor(0.0111, device='cuda:0')	0.002	0.9397646009354222
9	tensor(0.0102, device='cuda:0')	0.002	0.9440300086497388
10	tensor(0.0092, device='cuda:0')	0.002	0.949733504225078
11	tensor(0.0086, device='cuda:0')	0.002	0.9522018008682009
12	tensor(0.0079, device='cuda:0')	0.002	0.956367683878599
13	tensor(0.0073, device='cuda:0')	0.002	0.9591395397501528
14	tensor(0.0071, device='cuda:0')	0.002	0.9602706482236573
15	tensor(0.0067, device='cuda:0')	0.002	0.9622835547015532
16	tensor(0.0064, device='cuda:0')	0.002	0.9640052933344737
17	tensor(0.0062, device='cuda:0')	0.002	0.9648096011691871
18	tensor(0.0059, device='cuda:0')	0.002	0.9665456632614907
19	tensor(0.0056, device='cuda:0')	0.002	0.9677489342863926
20	tensor(0.0050, device='cuda:0')	0.0002	0.9712490791977294
21	tensor(0.0043, device='cuda:0')	0.0002	0.9752805736591821
22	tensor(0.0039, device='cuda:0')	0.0002	0.9776899387573911
23	tensor(0.0036, device='cuda:0')	0.0002	0.9791225463729026
24	tensor(0.0034, device='cuda:0')	0.0002	0.9801311290220408
25	tensor(0.0033, device='cuda:0')	0.0002	0.9807601685237085
26	tensor(0.0032, device='cuda:0')	0.0002	0.9812198023813997
27	tensor(0.0032, device='cuda:0')	0.0002	0.9815212122151749
28	tensor(0.0031, device='cuda:0')	0.0002	0.9817588757268806
29	tensor(0.0031, device='cuda:0')	0.0002	0.9819734924085332
30	tensor(0.0031, device='cuda:0')	0.0002	0.9821520674325973
31	tensor(0.0030, device='cuda:0')	2e-05	0.9825695000436568
32	tensor(0.0030, device='cuda:0')	2e-05	0.9826205761616779
33	tensor(0.0030, device='cuda:0')	2e-05	0.9826679775802002
34	tensor(0.0030, device='cuda:0')	2e-05	0.9827083016912442
35	tensor(0.0030, device='cuda:0')	2e-05	0.9827412105744272
36	tensor(0.0030, device='cuda:0')	2e-05	0.9827707900776894
37	tensor(0.0030, device='cuda:0')	2e-05	0.9827943147906295
38	tensor(0.0029, device='cuda:0')	2e-05	0.9828231077687132
39	tensor(0.0029, device='cuda:0')	2e-05	0.9828481172676937
40	tensor(0.0029, device='cuda:0')	2e-05	0.9828602011338027
41	tensor(0.0029, device='cuda:0')	2e-05	0.9828696395898118
42	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.9829664577098325
43	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.9829543482161741
44	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.9829496001680571
45	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.982949588957586
46	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.9829492825958732
47	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.9829494571271322
48	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.9829523357422534
49	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.9829517792613869
50	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.9829557613003949
51	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.9829553064706728
52	tensor(0.0029, device='cuda:0')	2.0000000000000003e-06	0.9829602332735605
53	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829632071472558
54	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829630155703434
55	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829634685969316
56	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829636715412681
57	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829641643114925
58	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829648937576767
59	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829648027326843
60	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829647662413593
61	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829654411451737
62	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829654651700382
63	tensor(0.0029, device='cuda:0')	2.0000000000000004e-07	0.9829653856806734
64	tensor(0.0029, device='cuda:0')	2.0000000000000007e-08	0.982966311787099
65	tensor(0.0029, device='cuda:0')	2.0000000000000007e-08	0.9829662803518381
66	tensor(0.0029, device='cuda:0')	2.0000000000000007e-08	0.9829663300892423
67	tensor(0.0029, device='cuda:0')	2.0000000000000007e-08	0.9829664077637469
68	tensor(0.0029, device='cuda:0')	2.0000000000000007e-08	0.9829663938698677
69	tensor(0.0029, device='cuda:0')	2.0000000000000007e-08	0.9829663959091217
70	tensor(0.0029, device='cuda:0')	2.0000000000000007e-08	0.9829664136168914
71	tensor(0.0029, device='cuda:0')	2.0000000000000007e-08	0.9829664432792625
72	tensor(0.0029, device='cuda:0')	2.0000000000000007e-08	0.9829664328210711
