epoch	loss	lr	cor
1	tensor(0.0784, device='cuda:0')	0.002	0.3812611832931496
2	tensor(0.0413, device='cuda:0')	0.002	0.7224778942174683
3	tensor(0.0262, device='cuda:0')	0.002	0.8384099619415288
4	tensor(0.0190, device='cuda:0')	0.002	0.889435001560588
5	tensor(0.0147, device='cuda:0')	0.002	0.9160705976327009
6	tensor(0.0125, device='cuda:0')	0.002	0.9288267096614696
7	tensor(0.0110, device='cuda:0')	0.002	0.9374272055861355
8	tensor(0.0098, device='cuda:0')	0.002	0.9446790023051636
9	tensor(0.0091, device='cuda:0')	0.002	0.9487064956793743
10	tensor(0.0084, device='cuda:0')	0.002	0.9526562039456371
11	tensor(0.0077, device='cuda:0')	0.002	0.9565935605678771
12	tensor(0.0072, device='cuda:0')	0.002	0.9590815536254133
13	tensor(0.0068, device='cuda:0')	0.002	0.9614456838029056
14	tensor(0.0065, device='cuda:0')	0.002	0.9633498115067028
15	tensor(0.0061, device='cuda:0')	0.002	0.9651961880684627
16	tensor(0.0059, device='cuda:0')	0.002	0.9661010936723041
17	tensor(0.0057, device='cuda:0')	0.002	0.9673240222824139
18	tensor(0.0054, device='cuda:0')	0.002	0.9687537033510643
19	tensor(0.0053, device='cuda:0')	0.002	0.9698164048780559
20	tensor(0.0051, device='cuda:0')	0.002	0.9708046002237775
21	tensor(0.0049, device='cuda:0')	0.002	0.9720827094634648
22	tensor(0.0048, device='cuda:0')	0.002	0.9726318293862856
23	tensor(0.0042, device='cuda:0')	0.0002	0.9755437804845707
24	tensor(0.0035, device='cuda:0')	0.0002	0.9796343490978967
25	tensor(0.0032, device='cuda:0')	0.0002	0.9818756225801826
26	tensor(0.0029, device='cuda:0')	0.0002	0.9833490429893055
27	tensor(0.0027, device='cuda:0')	0.0002	0.9843533196671858
28	tensor(0.0026, device='cuda:0')	0.0002	0.9849920110675437
29	tensor(0.0025, device='cuda:0')	0.0002	0.9854857032800893
30	tensor(0.0025, device='cuda:0')	0.0002	0.9857725990100813
31	tensor(0.0024, device='cuda:0')	0.0002	0.9859894193273367
32	tensor(0.0024, device='cuda:0')	0.0002	0.9861926771055267
33	tensor(0.0024, device='cuda:0')	0.0002	0.9863248414218352
34	tensor(0.0023, device='cuda:0')	2e-05	0.9867217639048386
35	tensor(0.0023, device='cuda:0')	2e-05	0.9868015700005106
36	tensor(0.0023, device='cuda:0')	2e-05	0.9868653695089311
37	tensor(0.0023, device='cuda:0')	2e-05	0.9869080435956931
38	tensor(0.0023, device='cuda:0')	2e-05	0.9869437414145565
39	tensor(0.0023, device='cuda:0')	2e-05	0.9869759563857718
40	tensor(0.0023, device='cuda:0')	2e-05	0.9869931928091349
41	tensor(0.0022, device='cuda:0')	2e-05	0.9870089668504273
