epoch	loss	lr	cor
1	tensor(0.0878, device='cuda:0')	0.001	0.31632893362012965
2	tensor(0.0448, device='cuda:0')	0.001	0.6950568600610988
3	tensor(0.0279, device='cuda:0')	0.001	0.8315479911151207
4	tensor(0.0202, device='cuda:0')	0.001	0.883630727230529
5	tensor(0.0163, device='cuda:0')	0.001	0.9083519098161877
6	tensor(0.0136, device='cuda:0')	0.001	0.9240097788696795
7	tensor(0.0121, device='cuda:0')	0.001	0.9326873892317488
8	tensor(0.0108, device='cuda:0')	0.001	0.9399206376323269
9	tensor(0.0099, device='cuda:0')	0.001	0.9449773489799446
10	tensor(0.0090, device='cuda:0')	0.001	0.949364224604139
11	tensor(0.0084, device='cuda:0')	0.001	0.9531586440994363
12	tensor(0.0079, device='cuda:0')	0.001	0.9554889762770421
13	tensor(0.0074, device='cuda:0')	0.001	0.9580611467649647
14	tensor(0.0071, device='cuda:0')	0.001	0.9598542401955567
15	tensor(0.0067, device='cuda:0')	0.001	0.9623057469766505
16	tensor(0.0064, device='cuda:0')	0.001	0.9640432946822922
17	tensor(0.0061, device='cuda:0')	0.001	0.9655779914803182
18	tensor(0.0059, device='cuda:0')	0.001	0.9667852860530256
19	tensor(0.0056, device='cuda:0')	0.001	0.9683088956145193
20	tensor(0.0055, device='cuda:0')	0.001	0.9690121425581145
21	tensor(0.0053, device='cuda:0')	0.001	0.9699583948749965
22	tensor(0.0051, device='cuda:0')	0.001	0.9710777438608381
23	tensor(0.0045, device='cuda:0')	0.0001	0.9740482737807479
24	tensor(0.0038, device='cuda:0')	0.0001	0.9780493841341568
25	tensor(0.0035, device='cuda:0')	0.0001	0.9802852220109252
26	tensor(0.0032, device='cuda:0')	0.0001	0.9817906953134408
27	tensor(0.0030, device='cuda:0')	0.0001	0.9827947562918337
28	tensor(0.0029, device='cuda:0')	0.0001	0.9834629303375446
29	tensor(0.0028, device='cuda:0')	0.0001	0.9839586799364378
30	tensor(0.0027, device='cuda:0')	0.0001	0.9842741358307047
31	tensor(0.0027, device='cuda:0')	0.0001	0.9845258870645279
32	tensor(0.0027, device='cuda:0')	0.0001	0.984749434210594
33	tensor(0.0026, device='cuda:0')	0.0001	0.9849042365551927
34	tensor(0.0025, device='cuda:0')	1e-05	0.9853516890560879
35	tensor(0.0025, device='cuda:0')	1e-05	0.9854279301781473
36	tensor(0.0025, device='cuda:0')	1e-05	0.9854828413462071
37	tensor(0.0025, device='cuda:0')	1e-05	0.9855326924678598
