epoch	loss	lr	cor
1	tensor(5.3216, device='cuda:0')	0.001	0.004043935496405554
2	tensor(4.5980, device='cuda:0')	0.001	0.02176877060531163
3	tensor(4.4121, device='cuda:0')	0.001	0.023745766712472704
4	tensor(4.2433, device='cuda:0')	0.001	0.028830119276308647
5	tensor(4.0421, device='cuda:0')	0.001	0.03102656783016842
6	tensor(3.8322, device='cuda:0')	0.001	0.05388935144222534
7	tensor(3.6706, device='cuda:0')	0.001	0.08483457356631688
8	tensor(3.5756, device='cuda:0')	0.001	0.10031103286312314
9	tensor(3.5138, device='cuda:0')	0.001	0.10205158816255917
10	tensor(3.4544, device='cuda:0')	0.001	0.10925740594019534
11	tensor(3.3859, device='cuda:0')	0.001	0.11518916574255704
12	tensor(3.3534, device='cuda:0')	0.001	0.114899548760923
13	tensor(3.3194, device='cuda:0')	0.001	0.11353335486700261
14	tensor(3.2721, device='cuda:0')	0.001	0.12167779848099225
15	tensor(3.2383, device='cuda:0')	0.001	0.12569336294118436
16	tensor(3.2098, device='cuda:0')	0.001	0.12613089683163456
17	tensor(3.1868, device='cuda:0')	0.001	0.12536819372332725
18	tensor(3.1573, device='cuda:0')	0.001	0.13802651237781535
19	tensor(3.1664, device='cuda:0')	0.001	0.12920685282064776
20	tensor(3.0987, device='cuda:0')	0.001	0.14524809033276437
21	tensor(3.0932, device='cuda:0')	0.001	0.1397660919981919
22	tensor(3.0629, device='cuda:0')	0.001	0.14906881642929956
23	tensor(3.0725, device='cuda:0')	0.001	0.14967525267478332
24	tensor(3.0678, device='cuda:0')	0.001	0.14314718810990254
25	tensor(3.0214, device='cuda:0')	0.001	0.14926262242015967
26	tensor(3.0123, device='cuda:0')	0.001	0.1551409179622035
27	tensor(3.0170, device='cuda:0')	0.001	0.15947776658285737
28	tensor(2.9970, device='cuda:0')	0.001	0.1537741372822213
29	tensor(2.9664, device='cuda:0')	0.001	0.16244533176593876
30	tensor(2.9435, device='cuda:0')	0.001	0.1681429195718402
31	tensor(2.9192, device='cuda:0')	0.001	0.17253592307938842
32	tensor(2.9264, device='cuda:0')	0.001	0.16423501747600613
33	tensor(2.9080, device='cuda:0')	0.001	0.16571394434429723
34	tensor(2.8665, device='cuda:0')	0.001	0.17425301091670137
35	tensor(2.8586, device='cuda:0')	0.001	0.1807468399021442
36	tensor(2.8643, device='cuda:0')	0.001	0.1737242763401249
37	tensor(2.8407, device='cuda:0')	0.001	0.18985727383165568
38	tensor(2.8239, device='cuda:0')	0.001	0.18627359847563943
39	tensor(2.7823, device='cuda:0')	0.001	0.18994719525733086
40	tensor(2.8121, device='cuda:0')	0.001	0.19073434548008156
41	tensor(2.7723, device='cuda:0')	0.001	0.19345818680494953
42	tensor(2.7486, device='cuda:0')	0.001	0.19704451019246527
43	tensor(2.7225, device='cuda:0')	0.001	0.20636563163053095
44	tensor(2.7106, device='cuda:0')	0.001	0.2089264410374894
45	tensor(2.6761, device='cuda:0')	0.001	0.21318330825335352
46	tensor(2.7077, device='cuda:0')	0.001	0.2123287891483724
47	tensor(2.6827, device='cuda:0')	0.001	0.2111409581980796
48	tensor(2.6716, device='cuda:0')	0.001	0.21139007048901207
49	tensor(2.6382, device='cuda:0')	0.001	0.2233859055675379
50	tensor(2.6428, device='cuda:0')	0.001	0.21937223538440878
51	tensor(2.6298, device='cuda:0')	0.001	0.22364260183215479
52	tensor(2.6379, device='cuda:0')	0.001	0.21928728903967723
53	tensor(2.6302, device='cuda:0')	0.001	0.22313692010508593
54	tensor(2.5928, device='cuda:0')	0.001	0.22974421985341897
55	tensor(2.6066, device='cuda:0')	0.001	0.2300343498117915
56	tensor(2.5920, device='cuda:0')	0.001	0.23062695690493848
57	tensor(2.5748, device='cuda:0')	0.001	0.2369078364696917
58	tensor(2.5625, device='cuda:0')	0.001	0.23889422283620176
59	tensor(2.5660, device='cuda:0')	0.001	0.23839067316137766
60	tensor(2.5506, device='cuda:0')	0.001	0.24166985721129539
61	tensor(2.5756, device='cuda:0')	0.001	0.22843460796818515
62	tensor(2.5145, device='cuda:0')	0.001	0.25208765430727537
63	tensor(2.5281, device='cuda:0')	0.001	0.24568245666017022
64	tensor(2.5372, device='cuda:0')	0.001	0.23761051390199167
65	tensor(2.5173, device='cuda:0')	0.001	0.2484890564711428
66	tensor(2.4965, device='cuda:0')	0.001	0.2522600313743631
67	tensor(2.4951, device='cuda:0')	0.001	0.249676448634776
68	tensor(2.4753, device='cuda:0')	0.001	0.25277454862594284
69	tensor(2.4793, device='cuda:0')	0.001	0.253681723491118
70	tensor(2.4757, device='cuda:0')	0.001	0.2537471824806138
71	tensor(2.4428, device='cuda:0')	0.001	0.26423953980393433
