epoch	loss	lr	cor
1	tensor(7.3824, device='cuda:0')	0.001	0.04183428737318799
2	tensor(5.5790, device='cuda:0')	0.001	0.05427222524500709
3	tensor(4.7067, device='cuda:0')	0.001	0.053169131582309244
4	tensor(4.3595, device='cuda:0')	0.001	0.059802730927864776
5	tensor(4.0051, device='cuda:0')	0.001	0.0921462792377502
6	tensor(3.8823, device='cuda:0')	0.001	0.10803628312884928
7	tensor(3.7737, device='cuda:0')	0.001	0.11438866356216908
8	tensor(3.6656, device='cuda:0')	0.001	0.11995551751910362
9	tensor(3.5016, device='cuda:0')	0.001	0.14632901048971614
10	tensor(3.4538, device='cuda:0')	0.001	0.14498562146664112
11	tensor(3.3431, device='cuda:0')	0.001	0.1664712819899293
12	tensor(3.2483, device='cuda:0')	0.001	0.17916734655955735
13	tensor(3.2562, device='cuda:0')	0.001	0.1782395111193983
14	tensor(3.2159, device='cuda:0')	0.001	0.18113822220902137
15	tensor(3.1148, device='cuda:0')	0.001	0.190171410234213
16	tensor(3.0961, device='cuda:0')	0.001	0.1995766915993261
17	tensor(3.0563, device='cuda:0')	0.001	0.19336842599655074
18	tensor(3.0000, device='cuda:0')	0.001	0.2089418307243113
19	tensor(2.9763, device='cuda:0')	0.001	0.21213567570185998
20	tensor(2.9366, device='cuda:0')	0.001	0.21237802084487933
21	tensor(2.9158, device='cuda:0')	0.001	0.2065018836631291
22	tensor(2.8506, device='cuda:0')	0.001	0.2257807200623395
23	tensor(2.8313, device='cuda:0')	0.001	0.22623783988324375
24	tensor(2.7998, device='cuda:0')	0.001	0.2331234435257604
25	tensor(2.7968, device='cuda:0')	0.001	0.23171299368158943
26	tensor(2.7854, device='cuda:0')	0.001	0.22926136475696068
27	tensor(2.7464, device='cuda:0')	0.001	0.2397432489391423
28	tensor(2.7127, device='cuda:0')	0.001	0.24466884647757012
29	tensor(2.7213, device='cuda:0')	0.001	0.23857584168257348
30	tensor(2.6714, device='cuda:0')	0.001	0.24845224685374528
